block_number,sender,to,amount0In,amount1In,amount0Out,amount1Out,timestamps
14757663,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x43624Bf8e574ee9C77C14ba72A833091F9Bf4968,0,50000000000000000000,24312023319665253379861665426,0,1621596091
14757671,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x628E449db79206D95c26B6caCCE27328A5294A56,0,50000000000000000000,23156278840596533965349712271,0,1621596107
14757696,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x43624Bf8e574ee9C77C14ba72A833091F9Bf4968,0,50000000000000000000,22081071113709974627495489210,0,1621596161
14757760,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xe904459Ae29ABcb0F33E7fe2e361752F6EC1563E,0,10000000000000000000,4293633916295178405582133499,0,1621596293
14757841,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x43624Bf8e574ee9C77C14ba72A833091F9Bf4968,0,50000000000000000000,20886892460018177919416714301,0,1621596459
14757964,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x97563dE4b3FeC0855d98ECB2fBB7Df9473ca9862,0,5000000000000000000,2036852899238849913015389409,0,1621596721
14757969,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x43624Bf8e574ee9C77C14ba72A833091F9Bf4968,0,5000000000000000000,2027693962384707905982694027,0,1621596731
14758036,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x0E3665F48425FdAb08F9C1bc5e00e3628cEeFC14,0,15455844258336501621,6210732293922403278600224680,0,1621596869
14758057,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x61E4fff7A967cfaACd94E40b05aae3b907df3603,0,10000000000000000000,3972881483871819403015358309,0,1621596911
14758079,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x61E4fff7A967cfaACd94E40b05aae3b907df3603,0,20000000000000000000,7840776595441322032056798727,0,1621596955
14758119,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x406f4533B2F6209812d7eF9c7d69b8C54217C208,0,1000000000000000000,388407804063861485448844915,0,1621597039
14758140,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x406f4533B2F6209812d7eF9c7d69b8C54217C208,0,1000000000000000000,388065810859861212288322100,0,1621597081
14758219,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x5a85A34734C1669e553ce51f83387fE0f1FC56b4,0,100000000000000000000,37156131080108191658967026064,0,1621597247
14758268,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x406f4533B2F6209812d7eF9c7d69b8C54217C208,0,1000000000000000000,355720819505264821404847285,0,1621597345
14758325,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x406f4533B2F6209812d7eF9c7d69b8C54217C208,0,17000000000000000000,6001762296598079016183493878,0,1621597463
14758352,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x2b82E9EC6F36f49e313f9C7dAD8F6Ce0552c2e99,0,100000000000000000000,33647011017427590989030678286,0,1621597521
14758414,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x14b546F01be7691A6fBCAeDFdbD909Ab35AA3aCD,0,5000000000000000000,1611447141776877822623335013,0,1621597679
14758419,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEDc017716e56A39f82C0C6B943fbc7B512926C3E,0,12000000000000000000,3841261422974375505161106127,0,1621597699
14758420,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEDc017716e56A39f82C0C6B943fbc7B512926C3E,0,10000000000000000000,3173065889997552259082357987,0,1621597703
14758422,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEDc017716e56A39f82C0C6B943fbc7B512926C3E,0,5000000000000000000,1577091309184918861077282650,0,1621597711
14758440,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x406f4533B2F6209812d7eF9c7d69b8C54217C208,0,30000000000000000000,9332899067569373755325242267,0,1621597783
14758464,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB9Fcd147F33D6Cc2bb4DCEE2979c4fA94bf1a288,0,10000000000000000000,3062356017683904510601811095,0,1621597881
14759100,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x88236B97582B73898190Af4d5C6AA3f0AbE0D62d,0,1000000000000000000,304919605203487967520093096,0,1621599189
15636435,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x837ac8EBe855C18AFE461Df9704209DF62c0cbb5,0,740637355057123,224679712790959065415063,0,1623523345
19006370,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,0,114742753067273422,20000000000000000000000000,0,1631403247
19006482,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,0,156965975827200790,10000000000000000000000000,0,1631403517
19019520,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,0,89949410511781736,3000000000000000000000000,0,1631436474
19037969,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x06f3fFfE777D69c0575BF51357D2e965F6385D9b,0,84354816705691934,2000000000000000000000000,0,1631482976
19435902,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xF48B175bdf5930D71DFC049ac98b76C1Bfe9660C,0,117111928149633630,2000000000000000000000000,0,1632436819
21186302,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,0,1000000000000000,14277685924848418553754,0,1636499707
21186598,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,0,1000000000000000,14238160285406744215537,0,1636500319
21187397,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x95A7748048Ea6f6f4F52423b657941901b0Ca782,0,20000000000000000,276719429158182211232574,0,1636502026
